748565.58901, 3,   1.152,  5.354,  7.755, 4,   0.071, -0.045, -0.081, 5,  -2.220,-45.840,-10.620
748565.60901, 3,   1.152,  5.354,  7.755, 4,  -0.029, -0.018,  0.073, 5,  -2.220,-45.960,-10.500
748565.62901, 3,   1.152,  5.354,  7.755, 4,  -0.245,  0.035,  0.065, 5,  -2.040,-46.440,-10.320
748565.84901, 3,   0.967,  5.552,  7.834, 4,   0.227,  0.063,  0.091, 5,  -1.860,-46.560,-11.340
748565.64901, 3,   1.082,  5.224,  8.227, 4,  -0.363,  0.001, -0.085, 5,  -2.100,-46.200,-10.020
748565.66901, 3,   0.819,  5.143,  8.227, 4,  -0.352, -0.062, -0.210, 5,  -1.860,-46.500,-10.140
748565.68901, 3,   0.843,  5.229,  8.153, 4,  -0.306, -0.106, -0.237, 5,  -1.440,-46.140,-10.380
748565.70901, 3,   0.941,  5.423,  8.203, 4,  -0.210, -0.104, -0.196, 5,  -1.200,-46.140,-10.680
748565.72901, 3,   1.137,  5.682,  8.212, 4,  -0.103, -0.028, -0.097, 5,  -0.660,-46.260,-11.160
748565.74901, 3,   0.838,  5.567,  8.330, 4,  -0.039,  0.047, -0.037, 5,  -0.480,-46.140,-11.460
748565.76901, 3,   0.934,  5.438,  8.018, 4,   0.005,  0.026, -0.048, 5,  -0.600,-46.500,-11.700
748565.78901, 3,   1.013,  5.471,  7.767, 4,   0.089, -0.030, -0.061, 5,  -0.540,-46.680,-11.820
748565.80901, 3,   1.027,  5.564,  7.664, 4,   0.197, -0.040, -0.014, 5,  -1.260,-46.740,-11.880
748565.82901, 3,   0.876,  5.593,  7.789, 4,   0.252, -0.020,  0.049, 5,  -1.860,-46.740,-11.520
748565.86901, 3,   1.053,  5.450,  7.887, 4,   0.178,  0.087,  0.078, 5,  -1.680,-46.260,-11.580
748565.88901, 3,   1.156,  5.493,  8.009, 4,   0.114,  0.054,  0.058, 5,  -1.500,-46.440,-11.880
748565.90901, 3,   1.279,  5.471,  8.294, 4,   0.028, -0.018,  0.022, 5,  -1.020,-46.500,-12.060
748565.92901, 3,   0.886,  5.509,  8.368, 4,  -0.045, -0.027, -0.007, 5,  -1.140,-46.200,-12.240
748565.94901, 3,   0.970,  5.658,  8.165, 4,  -0.043, -0.001, -0.022, 5,  -1.320,-46.020,-11.820
748565.96901, 3,   1.022,  5.514,  7.880, 4,   0.018,  0.034, -0.040, 5,  -1.320,-46.020,-11.340
748565.98901, 3,   0.699,  5.605,  7.961, 4,   0.110,  0.054, -0.052, 5,  -2.040,-46.260,-11.580
748566.00901, 3,   0.436,  5.689,  7.693, 4,   0.155,  0.095, -0.052, 5,  -1.440,-46.560,-11.820
748566.02901, 3,   0.419,  5.766,  7.674, 4,   0.130,  0.184, -0.079, 5,  -1.380,-46.620,-11.820
748566.04901, 3,   0.532,  5.811,  7.916, 4,   0.079,  0.167, -0.113, 5,  -1.320,-46.740,-12.480
748566.06901, 3,   0.716,  5.895,  8.186, 4,  -0.009,  0.063, -0.123, 5,  -0.540,-46.860,-12.420
748566.08901, 3,   0.704,  5.667,  8.294, 4,  -0.100,  0.032, -0.129, 5,  -1.440,-47.160,-12.000
748566.10901, 3,   0.785,  5.349,  7.700, 4,  -0.123,  0.107, -0.144, 5,  -1.500,-47.340,-12.120
748566.12901, 3,   0.694,  5.706,  7.698, 4,  -0.051,  0.177, -0.139, 5,  -0.960,-47.100,-11.640
748566.14901, 3,   0.702,  5.677,  7.817, 4,   0.027,  0.156, -0.102, 5,  -1.080,-46.980,-11.700
748566.16901, 3,   0.656,  5.694,  7.983, 4,   0.033, -0.000, -0.065, 5,  -0.720,-46.740,-12.540
748566.18901, 3,   0.599,  5.718,  8.153, 4,  -0.002, -0.106, -0.059, 5,  -0.600,-46.440,-12.660
748566.20901, 3,   0.663,  5.722,  8.148, 4,  -0.043, -0.115, -0.070, 5,  -0.720,-46.020,-12.900
748566.22901, 3,   0.821,  5.684,  8.143, 4,  -0.020, -0.067, -0.063, 5,  -0.420,-46.200,-12.540
748566.24901, 3,   1.015,  5.593,  7.937, 4,   0.062,  0.023, -0.004, 5,  -0.360,-46.020,-12.420
748566.26901, 3,   0.625,  5.749,  7.803, 4,   0.186,  0.116,  0.065, 5,  -0.180,-46.260,-12.480
748566.28901, 3,   0.634,  5.667,  7.520, 4,   0.278,  0.110,  0.124, 5,  -0.840,-46.380,-12.780
748566.30901, 3,   0.587,  5.698,  7.477, 4,   0.273,  0.019,  0.076, 5,  -1.560,-46.380,-12.960
748566.32901, 3,   0.474,  5.756,  7.655, 4,   0.201, -0.056, -0.020, 5,  -1.800,-46.380,-12.360
748566.34901, 3,   0.577,  5.847,  7.803, 4,   0.086, -0.120, -0.063, 5,  -2.040,-45.660,-12.060
